street,rooms,max_floors,count_by_street
10й дивизии НКВД,2,4,1
10й дивизии НКВД,2,5,2
11,1,4,1
13,1,5,1
13й Гвардейской дивизии,1,5,7
13й Гвардейской дивизии,2,4,3
13й Гвардейской дивизии,2,5,9
13й Гвардейской дивизии,2,6,1
1А,3,5,1
1й Пятилетки,2,3,1
1й Пятилетки,2,5,2
27,2,5,1
2й квартал,2,4,3
2й квартал,3,4,1
2й квартал,3,5,1
2й квартал,4,4,1
2я Динамовская,1,10,2
2я Динамовская,2,2,4
2я Динамовская,2,9,8
2я Динамовская,2,10,6
2я Динамовская,3,2,1
2я Динамовская,3,9,2
2я Караванная,1,9,6
2я Караванная,2,2,4
2я Караванная,2,9,4
2я Караванная,3,9,5
2я Штурманская,1,5,15
2я Штурманская,1,9,10
2я Штурманская,2,2,4
2я Штурманская,2,5,18
2я Штурманская,2,9,20
2я Штурманская,3,2,2
2я Штурманская,3,5,8
2я Штурманская,3,9,13
2я Штурманская,4,5,1
35 Гвардейской дивизии,1,5,29
35 Гвардейской дивизии,1,9,10
35 Гвардейской дивизии,2,4,3
35 Гвардейской дивизии,2,5,18
35 Гвардейской дивизии,2,6,3
35 Гвардейской дивизии,2,9,28
35 Гвардейской дивизии,3,5,8
35 Гвардейской дивизии,3,9,14
35 Гвардейской дивизии,4,9,3
37,1,9,2
39 Грвардейская,4,16,1
39й Гвардейской дивизии,1,9,25
39й Гвардейской дивизии,2,9,28
39й Гвардейской дивизии,3,9,10
39й Гвардейской дивизии,4,9,19
39й Гвардейской дивизии,4,16,6
40 Домиков,3,2,2
40 лет ВЛКСМ,1,3,15
40 лет ВЛКСМ,1,4,29
40 лет ВЛКСМ,1,5,2
40 лет ВЛКСМ,2,3,20
40 лет ВЛКСМ,2,4,9
40 лет ВЛКСМ,2,5,3
40 лет ВЛКСМ,3,3,6
40 лет ВЛКСМ,3,4,8
40 лет ВЛКСМ,Студия,4,1
42,1,19,2
4й Участок,3,2,1
4й Участок,4,2,2
4х Связистов,1,9,5
4х Связистов,2,9,16
50 лет Октября,1,5,23
50 лет Октября,1,9,33
50 лет Октября,1,10,1
50 лет Октября,1,16,5
50 лет Октября,1,17,2
50 лет Октября,2,5,79
50 лет Октября,2,9,9
50 лет Октября,2,10,8
50 лет Октября,3,5,23
50 лет Октября,3,9,24
50 лет Октября,4,5,5
50 лет Октября,4,16,2
50 лет Октября,Своб.планировка,10,3
50 лет Октября,Студия,10,2
50летия ВЛКСМ,4,5,6
51 Гвардейской дивизии,1,5,54
51 Гвардейской дивизии,1,6,5
51 Гвардейской дивизии,1,7,4
51 Гвардейской дивизии,1,9,76
51 Гвардейской дивизии,1,10,8
51 Гвардейской дивизии,2,4,2
51 Гвардейской дивизии,2,5,58
51 Гвардейской дивизии,2,6,1
51 Гвардейской дивизии,2,7,3
51 Гвардейской дивизии,2,9,68
51 Гвардейской дивизии,2,10,1
51 Гвардейской дивизии,3,5,37
51 Гвардейской дивизии,3,9,12
51 Гвардейской дивизии,3,10,17
51 Гвардейской дивизии,4,5,18
51 Гвардейской дивизии,4,9,9
51 Гвардейской дивизии,6,4,3
51 Гвардейской дивизии,Студия,5,4
51 Гвардейской дивизии,Студия,7,4
51 Гвардейской дивизии,Студия,9,16
51 Гвардейской дивизии,Студия,10,10
5й участок,2,2,9
5й участок,5,2,3
60,2,9,1
64 Армии,1,4,5
64 Армии,1,5,121
64 Армии,1,6,4
64 Армии,1,10,20
64 Армии,1,16,7
64 Армии,2,3,6
64 Армии,2,4,8
64 Армии,2,5,95
64 Армии,2,6,2
64 Армии,2,9,25
64 Армии,2,10,11
64 Армии,2,16,1
64 Армии,3,3,2
64 Армии,3,4,1
64 Армии,3,5,41
64 Армии,3,9,20
64 Армии,3,16,12
64 Армии,4,5,4
64 Армии,4,9,5
7 Гвардейской,1,5,8
7 Гвардейской,2,5,14
7 Гвардейской,2,7,5
7 Гвардейской,2,16,5
7 Гвардейской,3,5,6
7 Гвардейской,3,7,2
7 Гвардейской,3,16,3
70летия Победы,1,5,37
70летия Победы,1,6,1
70летия Победы,1,16,12
70летия Победы,2,5,17
70летия Победы,2,6,2
70летия Победы,2,16,5
70летия Победы,3,6,1
8 Воздушной Армии,1,9,68
8 Воздушной Армии,1,10,2
8 Воздушной Армии,1,12,3
8 Воздушной Армии,1,16,4
8 Воздушной Армии,1,17,7
8 Воздушной Армии,1,18,10
8 Воздушной Армии,1,19,6
8 Воздушной Армии,2,9,63
8 Воздушной Армии,2,10,2
8 Воздушной Армии,2,12,4
8 Воздушной Армии,2,14,11
8 Воздушной Армии,2,16,26
8 Воздушной Армии,2,18,8
8 Воздушной Армии,2,19,8
8 Воздушной Армии,2,20,1
8 Воздушной Армии,3,9,77
8 Воздушной Армии,3,10,1
8 Воздушной Армии,3,14,11
8 Воздушной Армии,3,16,16
8 Воздушной Армии,3,19,6
8 Воздушной Армии,4,9,10
8 Воздушной Армии,4,16,8
8 Воздушной Армии,4,17,5
95 Гвардейской дивизии,1,4,7
95 Гвардейской дивизии,3,4,11
95 Гвардейской дивизии,3,5,5
Авиаторская,1,9,7
Авиаторская,1,11,2
Авиаторская,1,16,2
Авиаторская,2,8,3
Авиаторская,2,9,5
Авиаторская,2,10,4
Авиаторская,2,11,6
Авиаторская,2,16,2
Авиаторская,3,9,7
Авиаторская,3,16,2
Автомагистральная,1,9,9
Автомагистральная,2,9,25
Автомагистральная,3,9,5
Автомобилистов,1,5,5
Автомобилистов,2,5,21
Автомобилистов,3,5,13
Автомобилистов,4,5,10
Автотранспортная,1,3,3
Автотранспортная,2,5,4
Автотранспортная,3,3,2
Автотранспортная,3,5,7
Аджарская,1,2,10
Аджарская,1,5,6
Аджарская,1,12,30
Аджарская,1,14,1
Аджарская,1,16,1
Аджарская,2,2,4
Аджарская,2,12,10
Аджарская,3,5,15
Адмирала Ушакова,3,4,4
Азовская,4,3,3
Академическая,1,5,13
Академическая,2,5,9
Академическая,3,5,3
Алексеевская,1,5,2
Алексеевская,2,5,24
Алексеевская,2,9,11
Алексеевская,3,5,13
Алексеевская,3,9,4
Алексеевская,4,5,7
Алексеевская,4,9,3
Алийская,1,5,1
Алийская,2,2,3
Алийская,2,5,2
Алийская,3,5,2
Аллея Героев,1,5,1
Аллея Героев,2,6,4
Аллея Героев,2,7,5
Аллея Героев,2,8,8
Аллея Героев,3,7,7
Аллея Героев,3,8,5
Аллея Героев,Студия,9,3
Ангарская,1,2,2
Ангарская,1,5,11
Ангарская,1,9,1
Ангарская,1,10,10
Ангарская,1,16,19
Ангарская,1,17,1
Ангарская,1,19,25
Ангарская,1,23,3
Ангарская,2,2,7
Ангарская,2,5,9
Ангарская,2,8,3
Ангарская,2,9,17
Ангарская,2,10,5
Ангарская,2,11,6
Ангарская,2,12,4
Ангарская,2,16,4
Ангарская,2,17,3
Ангарская,2,18,2
Ангарская,2,19,22
Ангарская,2,21,3
Ангарская,2,23,5
Ангарская,3,5,13
Ангарская,3,6,2
Ангарская,3,8,5
Ангарская,3,9,2
Ангарская,3,12,4
Ангарская,3,15,4
Ангарская,3,16,8
Ангарская,4,5,5
Ангарская,4,6,3
Ангарская,4,10,3
Ангарская,4,16,1
Ангарская,Студия,23,3
Ангарская,Студия,24,1
Андреева,1,5,2
Андреева,2,2,1
Андреева,3,5,5
Анри Барбюса,1,2,1
Анри Барбюса,2,2,11
Аракская,1,5,2
Аракская,2,5,5
Аракская,3,5,4
Ардатовская,1,4,1
Ардатовская,2,4,3
Ардатовская,2,5,4
Ардатовская,2,9,7
Ардатовская,2,10,3
Ардатовская,2,11,1
Ардатовская,3,5,1
Ардатовская,3,10,3
Ардатовская,5,10,3
Аренского,1,5,13
Аренского,4,6,1
Армавирская,1,4,3
Армавирская,1,5,6
Армавирская,2,3,2
Армавирская,2,4,25
Армавирская,2,5,6
Армавирская,3,3,3
Армавирская,3,4,9
Армавирская,4,4,7
Армавирская,Своб.планировка,5,3
Армавирская,Студия,5,8
Арсеньева,1,5,5
Арсеньева,1,9,21
Арсеньева,2,3,3
Арсеньева,2,4,9
Арсеньева,2,5,3
Арсеньева,2,9,7
Арсеньева,3,3,5
Арсеньева,3,4,6
Арсеньева,3,9,13
Арсеньева,4,9,1
Атласова,2,2,5
Ачинский,2,3,2
Ачинский,3,3,5
Ачинскийеулок,3,3,1
Аэропорт,1,3,2
Аэропорт,1,4,2
Аэропорт,1,5,5
Аэропорт,2,3,7
Аэропорт,2,4,3
Аэропорт,2,5,19
Аэропорт,3,3,2
Аэропорт,3,5,4
Аэропорт,4,3,2
Аэропорт,4,5,1
Аэропортовский,1,4,1
Аэропортовский,1,5,3
Аэропортовский,1,10,6
Аэропортовский,1,11,2
Аэропортовский,2,4,2
Аэропортовский,3,4,3
Аэропортовский,4,4,3
Аэрофлотская,1,9,6
Аэрофлотская,1,10,5
Аэрофлотская,2,9,3
Аэрофлотская,2,10,2
Аэрофлотская,3,9,5
Бабича,1,4,4
Бабича,2,4,3
Бажова,1,9,6
Бажова,2,5,13
Бажова,2,9,1
Бажова,5,9,8
Базарова,1,5,1
Базарова,1,6,24
Базарова,1,7,24
Базарова,1,8,3
Базарова,1,9,2
Базарова,2,5,2
Базарова,2,6,15
Базарова,2,7,10
Базарова,2,8,2
Базарова,3,7,3
Байдакова,1,2,6
Байдакова,1,3,2
Байдакова,2,2,7
Байдакова,3,2,2
Бакинская,1,5,5
Бакинская,1,16,4
Бакинская,2,4,4
Бакинская,2,5,16
Бакинская,2,9,9
Бакинская,2,16,6
Бакинская,2,17,2
Бакинская,3,5,4
Бакинская,3,9,5
Бакинская,3,16,2
Бакинская,4,9,8
Бакинская,4,10,7
Бакинская,5,10,3
Бакинская,Студия,16,3
Балакирева,1,9,3
Балакирева,1,10,9
Балакирева,2,10,14
Балакирева,Студия,10,6
Бамбуковая,1,1,6
Банный,1,2,1
Банный,3,2,3
Банныйеулок,1,2,1
Баррикадная,1,5,1
Баррикадная,1,9,4
Баррикадная,1,10,11
Баррикадная,2,3,13
Баррикадная,2,5,10
Баррикадная,2,6,1
Баррикадная,2,10,5
Баррикадная,3,10,2
Батальонная,1,18,8
Батальонная,2,18,9
Батальонная,2,19,1
Батальонная,3,17,6
Батальонная,3,18,8
Батальонная,3,20,2
Батальонная,4,17,4
Батова,1,4,1
Батова,1,5,5
Батова,1,14,7
Батова,2,4,1
Батова,2,5,1
Батова,2,14,7
Баумана,1,5,1
Баумана,1,9,3
Баумана,2,5,4
Баумана,2,9,4
Баумана,3,5,1
Баумана,3,9,5
Баумана,4,5,2
Бахтурова,1,4,9
Бахтурова,1,5,5
Бахтурова,2,3,16
Бахтурова,2,4,3
Бахтурова,2,5,12
Безымянная,1,5,10
Библиотечная,1,9,13
Библиотечная,2,9,25
Библиотечная,3,9,14
Библиотечная,3,10,2
Библиотечная,4,16,8
Бобруйская,1,5,11
Бобруйская,1,9,3
Бобруйская,1,10,1
Бобруйская,2,5,13
Бобруйская,2,9,12
Бобруйская,3,5,16
Бобруйская,Студия,9,3
Богданова,1,2,2
Богданова,1,9,12
Богданова,1,16,5
Богданова,2,2,5
Богданова,2,9,24
Богданова,2,16,6
Богданова,3,9,6
Богданова,3,16,4
Богданова,4,16,8
Богданова,Студия,9,5
Богунская,1,5,8
Богунская,1,9,2
Богунская,2,2,5
Богунская,2,5,17
Богунская,2,9,3
Богунская,3,4,8
Богунская,3,5,8
Богунская,3,9,2
Большая,2,2,3
Большая,3,2,3
Борьбы,1,5,13
Борьбы,2,3,6
Борьбы,2,4,10
Борьбы,2,5,29
Борьбы,3,4,25
Борьбы,3,5,12
Брасовская,2,2,2
Брасовская,3,2,6
Брестская,1,4,1
Брестская,1,5,20
Брестская,2,3,10
Брестская,2,4,8
Брестская,2,5,61
Брестская,3,3,12
Брестская,3,5,21
Брестская,4,5,5
Бурейская,1,3,1
Бурейская,1,9,27
Бурейская,1,16,4
Бурейская,1,17,3
Бурейская,2,2,1
Бурейская,2,3,2
Бурейская,2,4,9
Бурейская,2,9,14
Бурейская,2,16,3
Бурейская,3,5,1
Бурейская,3,9,1
Бурейская,3,12,5
Бурейская,3,14,1
Бурейская,3,16,5
Бурейская,3,17,2
Бурейская,4,12,2
Бурейская,5,9,2
Бутурлиновская,2,1,2
Бутурлиновская,3,2,2
Быкова,1,5,14
Быкова,2,5,23
Быкова,2,9,6
Быкова,3,5,12
Быкова,3,9,5
Быкова,4,5,5
Быстрова,1,5,9
Быстрова,1,9,42
Быстрова,1,10,51
Быстрова,2,2,3
Быстрова,2,5,13
Быстрова,2,8,3
Быстрова,2,9,7
Быстрова,2,10,77
Быстрова,2,11,7
Быстрова,3,5,3
Быстрова,3,9,10
Быстрова,3,10,7
Быстрова,Студия,9,1
Быстрова,Студия,10,4
Быстрова,Студия,11,2
В.И. Ленина,1,7,8
В.И. Ленина,2,4,14
В.И. Ленина,2,5,6
В.И. Ленина,2,6,1
В.И. Ленина,2,7,1
В.И. Ленина,3,4,6
В.И. Ленина,3,8,1
Валентины Терешковой,1,4,20
Валентины Терешковой,1,5,15
Валентины Терешковой,2,2,1
Валентины Терешковой,2,4,19
Валентины Терешковой,2,5,19
Валентины Терешковой,2,6,3
Валентины Терешковой,3,2,2
Валентины Терешковой,3,4,6
Валентины Терешковой,3,5,13
Валентины Терешковой,4,5,12
Варшавская,1,5,2
Варшавская,1,9,14
Варшавская,1,10,2
Варшавская,2,9,4
Варшавская,2,10,4
Варшавская,2,11,1
Варшавская,3,9,1
Ващенко,2,3,10
Вельботная,1,5,4
Вельботная,2,5,4
Вельботная,3,5,3
Вершинина,1,5,8
Вершинина,1,9,4
Вершинина,2,5,14
Вершинина,2,9,1
Вершинина,3,5,4
Вершинина,3,9,3
Веселая Балка,1,2,4
Веселая Балка,1,4,8
Веселая Балка,2,2,27
Веселая Балка,2,3,9
Веселая Балка,2,4,25
Веселая Балка,3,2,8
Веселая Балка,3,3,12
Веселая Балка,3,4,2
Веселая Балка,4,3,2
Вилянская,3,2,1
Владимирская,1,3,19
Владимирская,1,9,6
Владимирская,2,9,42
Владимирская,2,10,4
Владимирская,3,9,21
Владимирская,3,10,5
Водная,2,1,1
Водников,1,5,1
Водников,2,4,7
Водников,2,5,3
Водников,2,9,3
Военный городок,1,5,35
Военный городок,2,5,52
Военный городок,3,5,11
Военный городок,4,5,15
Возрождения,3,2,1
Волгоград,1,16,1
Волгоград,4,16,1
Волгоградская,1,2,3
Волгоградская,1,5,18
Волгоградская,1,9,13
Волгоградская,2,2,4
Волгоградская,2,5,16
Волгоградская,2,9,14
Волгоградская,3,5,14
Волгоградская,3,9,9
Волгоградская,3,10,2
Волжскийпр-кт,2,5,2
Волнистая,4,2,1
Вольная,2,1,3
Воровского,2,2,9
Воронкова,1,2,6
Воронкова,1,4,2
Воронкова,2,4,2
Воронкова,2,9,3
Воронкова,3,9,3
Воронова,1,14,2
Восточная,2,2,3
Восточная,2,3,2
Восточная,3,2,1
ВосточноКазахстанская,1,5,10
ВосточноКазахстанская,2,2,2
ВосточноКазахстанская,2,5,16
ВосточноКазахстанская,3,5,4
ВосточноКазахстанская,3,9,2
Вучетича,1,3,2
Вучетича,1,5,3
Вучетича,1,9,2
Вучетича,1,10,4
Вучетича,2,3,5
Вучетича,2,5,32
Вучетича,3,3,2
Вучетича,3,5,1
Вучетича,3,10,1
Вучетича,4,9,6
Вучетича,4,10,13
Высокая,1,6,14
Высокая,1,8,3
Высокая,1,16,26
Высокая,2,7,7
Высокая,2,8,7
Высокая,2,16,7
Высокая,2,17,6
Высокая,Студия,16,30
Высокая,Студия,17,5
Высокая,Студия,18,1
Гагарина,2,5,11
Гагарина,2,7,6
Гагарина,3,5,10
Гагринская,1,9,1
Гагринская,2,9,8
Гагринская,3,9,16
Гагринская,4,9,8
Гаря Хохолова,1,24,5
Гаря Хохолова,2,24,3
Гаря Хохолова,3,24,1
Гвардии Капитана Курсекова,1,3,4
Гвардии Капитана Курсекова,2,3,2
Гвоздкова,1,5,3
Гвоздкова,2,5,6
Гвоздкова,2,9,1
Гвоздкова,3,5,16
Гвоздкова,3,9,14
Гвоздкова,3,10,3
Гвоздкова,4,9,7
Гвоздкова,5,5,2
Гейне,1,5,30
Гейне,2,5,8
Гейне,2,9,3
Гейне,3,5,8
Гейне,4,9,4
Гейне,4,10,1
Геленджикская,1,2,7
Германа Титова,1,5,38
Германа Титова,1,9,6
Германа Титова,1,10,1
Германа Титова,2,4,5
Германа Титова,2,5,44
Германа Титова,2,6,4
Германа Титова,2,9,25
Германа Титова,3,4,1
Германа Титова,3,5,12
Германа Титова,3,9,9
Германа Титова,4,5,1
Германа Титова,4,6,3
Германа Титова,5,9,3
Героев 29 Стрелковой дивизии,2,4,1
Героев Малой Земли,1,5,3
Героев Малой Земли,1,9,2
Героев Малой Земли,2,2,2
Героев Малой Земли,2,3,5
Героев Малой Земли,2,4,1
Героев Малой Земли,2,5,27
Героев Малой Земли,2,9,7
Героев Малой Земли,3,3,5
Героев Малой Земли,3,5,7
Героев Малой Земли,3,9,1
Героев Малой Земли,4,5,5
Героев Тулы,1,9,22
Героев Тулы,1,10,5
Героев Тулы,2,2,3
Героев Тулы,2,9,25
Героев Тулы,3,9,7
Героев Тулы,4,9,3
Героев Шипки,1,5,8
Героев Шипки,1,9,6
Героев Шипки,1,10,23
Героев Шипки,2,2,4
Героев Шипки,2,5,2
Героев Шипки,2,9,7
Героев Шипки,2,10,41
Героев Шипки,3,5,4
Героев Шипки,3,9,4
Героев Шипки,3,10,7
Героев Шипки,4,9,7
Героев Шипки,4,10,13
Гидростроителей,1,9,2
Гидростроителей,1,16,4
Глазкова,1,5,4
Глазкова,1,9,1
Глазкова,1,10,33
Глазкова,1,11,6
Глазкова,2,5,3
Глазкова,2,9,2
Глазкова,2,10,14
Глазкова,2,11,4
Глазкова,3,5,6
Глазкова,3,10,26
Глазкова,3,19,3
Глазкова,3,20,3
Глазкова,4,5,3
Глазкова,4,9,3
Глазкова,4,10,2
Глазкова,Своб.планировка,19,1
Глазкова,Студия,11,1
Гнесиных,2,5,15
Гнесиных,3,5,3
Гнесиных,4,5,6
Гоголя,2,6,2
Гоголя,3,6,2
Голубева,1,4,4
Голубева,1,5,3
Голубева,2,3,16
Голубева,2,4,11
Голубева,2,5,1
Голубева,3,4,2
Голубева,3,5,1
Голубева,4,5,2
Голубева,4,10,7
Голубинская,1,9,2
Голубинская,2,5,2
Голубинская,2,10,4
Голубинская,3,5,2
Голубинская,3,9,3
Голубинская,3,10,5
Голубинская,4,10,4
Голубятникова,1,2,3
Голубятникова,1,4,10
Голубятникова,1,5,6
Голубятникова,1,9,3
Голубятникова,2,2,7
Голубятникова,2,4,8
Голубятникова,2,5,3
Голубятникова,2,9,6
Голубятникова,3,2,2
Голубятникова,3,4,6
Голубятникова,3,5,5
Гомельская,1,23,1
Гомельская,1,25,1
Гомельская,2,23,2
Гомельская,2,25,6
Гомельская,3,27,2
Гомельская,Студия,24,3
Городнянская,3,2,1
Городнянская,3,3,2
Гороховцев,1,5,6
Гороховцев,1,9,16
Гороховцев,1,16,7
Гороховцев,2,5,8
Гороховцев,2,9,14
Гороховцев,3,5,7
Гороховцев,3,9,19
Гороховцев,3,16,4
Гороховцев,4,5,6
Гороховцев,4,9,12
Гороховцев,4,16,2
Горячеводская,2,3,3
Гражданская,1,9,15
Гражданская,2,4,10
Гражданская,2,9,79
Гражданская,3,5,1
Гражданская,3,9,44
Гражданская,3,10,5
Гражданская,4,4,1
Гражданская,4,9,3
Грамши,1,9,8
Грамши,2,9,8
Грамши,3,9,25
Грамши,4,9,5
Гранатовая,1,1,1
Гремячинская,1,4,6
Гремячинская,1,5,28
Гремячинская,1,9,11
Гремячинская,2,3,3
Гремячинская,2,5,15
Гремячинская,2,9,5
Гремячинская,3,5,9
Гремячинская,3,9,7
Гремячинская,4,3,1
Грибанова,1,3,68
Грибанова,1,4,25
Грибанова,1,5,6
Грибанова,2,3,7
Грибанова,2,4,4
Грибанова,2,5,5
Грибанова,3,3,4
Гродненская,1,2,3
Гродненская,1,5,2
Гродненская,2,2,4
Гродненская,2,5,8
Гродненская,3,2,3
Гродненская,4,5,5
Гроссмана,2,5,2
Грузинская,2,3,4
Грушевская,1,9,5
Грушевская,2,9,3
Грушевская,2,15,3
Грушевская,2,16,18
Грушевская,3,9,2
Грушевская,3,16,9
Грушевская,4,9,2
Грушевская,Студия,9,1
Губкина,1,4,19
Губкина,1,5,4
Губкина,2,4,14
Губкина,2,5,4
Губкина,3,4,14
Гули Королевой,1,5,11
Гули Королевой,2,5,16
Гули Королевой,3,5,4
Даугавская,1,4,1
Даугавская,1,5,9
Даугавская,1,7,1
Даугавская,1,9,12
Даугавская,1,10,1
Даугавская,2,2,1
Даугавская,2,4,5
